epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1787,2.83681,4.21016,3.65266,0.94157,0.11333,0.14611,0.05382,2.39905,4.21951,3.15061,0.000332633,0.000332633,0.000332633
2,109.318,2.11826,3.29503,2.65847,0.53311,0.3104,0.2565,0.14123,2.08923,2.87609,2.74291,0.000643989,0.000643989,0.000643989
3,159.611,1.85335,2.783,2.34006,0.51142,0.39176,0.34632,0.21243,1.8433,2.41706,2.5033,0.000933346,0.000933346,0.000933346
4,209.083,1.71528,2.4825,2.15877,0.61519,0.40368,0.40759,0.25432,1.71375,2.21439,2.33668,0.000901,0.000901,0.000901
5,258.707,1.60925,2.27038,2.05444,0.64946,0.47092,0.47046,0.30327,1.63137,1.93642,2.25133,0.000868,0.000868,0.000868
6,308.026,1.51917,2.10743,1.95348,0.47628,0.43322,0.44261,0.30211,1.54771,1.94093,2.1624,0.000835,0.000835,0.000835
7,357.926,1.46543,2.00345,1.90211,0.57272,0.54946,0.52529,0.34038,1.52911,1.78232,2.10556,0.000802,0.000802,0.000802
8,407.384,1.413,1.9053,1.85364,0.60143,0.55048,0.56273,0.36986,1.49367,1.63641,2.03718,0.000769,0.000769,0.000769
9,457.015,1.39529,1.8118,1.81537,0.60497,0.57821,0.57357,0.38937,1.43955,1.55443,1.95733,0.000736,0.000736,0.000736
10,506.622,1.34877,1.74869,1.78332,0.68181,0.60937,0.63068,0.4252,1.38476,1.44856,1.90366,0.000703,0.000703,0.000703
11,555.964,1.31828,1.68257,1.74892,0.67915,0.60566,0.64938,0.43622,1.37014,1.38951,1.86212,0.00067,0.00067,0.00067
12,605.17,1.29986,1.62047,1.73114,0.69617,0.60885,0.65735,0.4495,1.34776,1.34342,1.85794,0.000637,0.000637,0.000637
13,655.051,1.2878,1.58217,1.70849,0.70705,0.61953,0.68284,0.47345,1.32626,1.28451,1.83087,0.000604,0.000604,0.000604
14,705.154,1.25878,1.53636,1.68232,0.73905,0.63104,0.695,0.47659,1.32357,1.2374,1.813,0.000571,0.000571,0.000571
15,754.738,1.24084,1.51722,1.67199,0.71839,0.64538,0.68993,0.49144,1.2684,1.25253,1.75763,0.000538,0.000538,0.000538
16,804.372,1.23982,1.47529,1.6639,0.73751,0.64431,0.69438,0.48547,1.27892,1.22945,1.76341,0.000505,0.000505,0.000505
17,853.645,1.21217,1.42818,1.63539,0.72253,0.66711,0.73039,0.50833,1.26259,1.15907,1.73919,0.000472,0.000472,0.000472
18,903.235,1.19364,1.40674,1.61786,0.75281,0.67093,0.734,0.51667,1.23228,1.1259,1.68481,0.000439,0.000439,0.000439
19,952.343,1.18146,1.36404,1.60136,0.7362,0.70269,0.74855,0.53187,1.22387,1.09139,1.68806,0.000406,0.000406,0.000406
20,1001.44,1.16046,1.33931,1.59266,0.77318,0.67205,0.74668,0.52823,1.2148,1.06865,1.68884,0.000373,0.000373,0.000373
21,1051.44,1.12043,1.08944,1.63625,0.82064,0.66589,0.7638,0.54696,1.16505,1.03642,1.62746,0.00034,0.00034,0.00034
22,1099.92,1.07737,1.01424,1.5894,0.74641,0.7122,0.77677,0.56179,1.12283,0.99106,1.57229,0.000307,0.000307,0.000307
23,1148.44,1.05774,0.98371,1.56648,0.82079,0.69551,0.79111,0.57243,1.10263,0.97344,1.57788,0.000274,0.000274,0.000274
24,1197.21,1.02283,0.93718,1.53979,0.81372,0.72,0.80985,0.59045,1.08628,0.91367,1.54881,0.000241,0.000241,0.000241
25,1245.45,1.00257,0.91132,1.51305,0.85722,0.6979,0.80869,0.59673,1.06342,0.90311,1.5443,0.000208,0.000208,0.000208
26,1294.07,0.98842,0.87321,1.49861,0.81087,0.74024,0.81553,0.59718,1.05515,0.88282,1.51392,0.000175,0.000175,0.000175
27,1342.5,0.97581,0.85546,1.48164,0.82347,0.73535,0.82037,0.60454,1.03082,0.86835,1.4916,0.000142,0.000142,0.000142
28,1390.8,0.95547,0.82768,1.46005,0.82351,0.76562,0.83424,0.61111,1.03954,0.86072,1.49476,0.000109,0.000109,0.000109
29,1438.81,0.93945,0.81117,1.4459,0.80874,0.76271,0.83443,0.61711,1.02454,0.84704,1.48547,7.6e-05,7.6e-05,7.6e-05
30,1486.94,0.92565,0.79858,1.44574,0.82945,0.76218,0.84338,0.62316,1.01164,0.82943,1.4744,4.3e-05,4.3e-05,4.3e-05
